title,duration,company
Biomedical Image Analysis in Python,4,DATACAMP
Object-Oriented Programming with S3 and R6 in R,4,DATACAMP
Visualizing Time Series Data in Python,4,DATACAMP
Building Dashboards with shinydashboard,4,DATACAMP
Creating PostgreSQL Databases,4,DATACAMP
String Manipulation with stringr in R,5,DATACAMP
Improving Your Data Visualizations in Python,4,DATACAMP
Network Analysis in R,4,DATACAMP
Interactive Maps with leaflet in R,4,DATACAMP
Machine Learning in the Tidyverse,5,DATACAMP
ARIMA Models in R,4,DATACAMP
Introduction to Oracle SQL,4,DATACAMP
Importing & Cleaning Data in R: Case Studies,4,DATACAMP
Cleaning Data in SQL Server Databases,4,DATACAMP
Reshaping Data with pandas,4,DATACAMP
Linear Algebra for Data Science in R,4,DATACAMP
Supply Chain Analytics in Python,4,DATACAMP
Fraud Detection in Python,4,DATACAMP
Machine Learning for Marketing in Python,4,DATACAMP
Visualizing Geospatial Data in Python,4,DATACAMP
Case Studies in Statistical Thinking,4,DATACAMP
Sentiment Analysis in R: The Tidy Way,4,DATACAMP
Dealing With Missing Data in R,4,DATACAMP
Tree-Based Models in R,4,DATACAMP
Foundations of Probability in Python,5,DATACAMP
Feature Engineering with PySpark,4,DATACAMP
Experimental Design in R,4,DATACAMP
Single-Cell RNA-Seq with Bioconductor in R,4,DATACAMP
Python for Spreadsheet Users,4,DATACAMP
Experimental Design in Python,4,DATACAMP
Financial Forecasting in Python,4,DATACAMP
Introduction to Portfolio Analysis in R,5,DATACAMP
Introduction to Spark with sparklyr in R,4,DATACAMP
Introduction to Statistical Modeling in R,4,DATACAMP
Quantitative Risk Management in R,5,DATACAMP
Inference for Categorical Data in R,4,DATACAMP
Survival Analysis in R,4,DATACAMP
Inference for Numerical Data in R,4,DATACAMP
ChIP-seq with Bioconductor in R,4,DATACAMP
Visualization Best Practices in R,4,DATACAMP
Spatial Analysis with sf and raster in R,4,DATACAMP
Interactive Data Visualization with rbokeh,4,DATACAMP
Machine Learning for Marketing Analytics in R,4,DATACAMP
Analyzing Survey Data in R,4,DATACAMP
Longitudinal Analysis in R,4,DATACAMP
Importing and Managing Financial Data in R,4,DATACAMP
Bond Valuation and Analysis in R,4,DATACAMP
Highcharter for Finance in R,4,DATACAMP
Python for R Users,5,DATACAMP
Factor Analysis in R,4,DATACAMP
Case Studies: Building Web Applications with Shiny in R,4,DATACAMP
Introduction to Natural Language Processing in R,4,DATACAMP
Dimensionality Reduction in R,4,DATACAMP
Text Mining with Bag-of-Words in R,4,DATACAMP
Inference for Linear Regression in R,4,DATACAMP
Financial Trading in R,5,DATACAMP
Building Dashboards with flexdashboard,4,DATACAMP
Support Vector Machines in R,4,DATACAMP
Designing Machine Learning Workflows in Python,4,DATACAMP
Visualizing Time Series Data in R,4,DATACAMP
Life Insurance Products Valuation in R,4,DATACAMP
Intermediate Network Analysis in Python,4,DATACAMP
Python for MATLAB Users,4,DATACAMP
Developing R Packages,4,DATACAMP
Command Line Automation in Python,4,DATACAMP
Building Recommendation Engines with PySpark,4,DATACAMP
Case Study: Exploring Baseball Pitching Data in R,4,DATACAMP
Sentiment Analysis in R,4,DATACAMP
Pandas Joins for Spreadsheet Users,4,DATACAMP
Analyzing Social Media Data in R,4,DATACAMP
Intermediate Portfolio Analysis in R,5,DATACAMP
Forecasting Product Demand in R,4,DATACAMP
Fraud Detection in R,4,DATACAMP
Analyzing US Census Data in Python,5,DATACAMP
Case Studies: Manipulating Time Series Data in R,4,DATACAMP
Spatial Statistics in R,4,DATACAMP
Topic Modeling in R,4,DATACAMP
Defensive R Programming,4,DATACAMP
Building and Distributing Packages with Conda,3,DATACAMP
Foundations of Functional Programming with purrr,4,DATACAMP
Multivariate Probability Distributions in R,4,DATACAMP
R For SAS Users,4,DATACAMP
Working with Web Data in R,4,DATACAMP
Hyperparameter Tuning in R,4,DATACAMP
Hierarchical and Recursive Queries in SQL Server,4,DATACAMP
Choice Modeling for Marketing in R,4,DATACAMP
Bayesian Regression Modeling with rstanarm,4,DATACAMP
Creating Robust Workflows in Python,4,DATACAMP
Nonlinear Modeling in R with GAMs,4,DATACAMP
Financial Analytics in R,4,DATACAMP
Analyzing IoT Data in Python,4,DATACAMP
Human Resources Analytics: Predicting Employee Churn in Python,4,DATACAMP
Intermediate Statistical Modeling in R,4,DATACAMP
Equity Valuation in R,4,DATACAMP
Intermediate Functional Programming with purrr,4,DATACAMP
Network Analysis in the Tidyverse,4,DATACAMP
Designing and Analyzing Clinical Trials in R,4,DATACAMP
Scalable Data Processing in R,4,DATACAMP
Optimizing R Code with Rcpp,4,DATACAMP
Bayesian Modeling with RJAGS,4,DATACAMP
Survey and Measurement Development in R,4,DATACAMP
Human Resources Analytics: Exploring Employee Data in R,5,DATACAMP
Visualizing Big Data with Trelliscope in R,4,DATACAMP
Business Process Analytics in R,4,DATACAMP
Parallel Programming in R,4,DATACAMP
Analyzing Election and Polling Data in R,4,DATACAMP
Probability Puzzles in R,4,DATACAMP
Data Privacy and Anonymization in R,4,DATACAMP
Intermediate Interactive Data Visualization with plotly in R,4,DATACAMP
Predictive Analytics using Networked Data in R,4,DATACAMP
Intermediate Predictive Analytics in Python,4,DATACAMP
Human Resources Analytics: Predicting Employee Churn in R,4,DATACAMP
Case Studies: Network Analysis in R,4,DATACAMP
Feature Engineering in R,4,DATACAMP
Time Series with data.table in R,4,DATACAMP
Course Creation at DataCamp,3,DATACAMP
Data Visualization with lattice in R,4,DATACAMP
Advanced Dimensionality Reduction in R,4,DATACAMP
Visualizing COVID-19,0.75,DATACAMP
